=======================================================================================,
ECMWF ERA5 (0.5x0.5 deg),
Sea Surface Temperature Anomaly (deg C) (1991-2020),
Values averaged across Nino 3.4 (5S-5N; 190E-240E),
---------------------------------------------------------------------------------------,
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org),
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu),
=======================================================================================,
time,sst
198712,0.850
198801,0.776
198802,0.446
198803,-0.046
198804,-0.460
198805,-1.413
198806,-1.588
198807,-1.697
198808,-1.473
198809,-1.657
198810,-2.493
198811,-2.482
198812,-2.189
198901,-1.994
198902,-1.317
198903,-1.328
198904,-1.295
198905,-0.967
198906,-0.704
198907,-0.612
198908,-0.617
198909,-0.643
198910,-0.544
198911,-0.541
198912,-0.263
199001,-0.040
199002,0.035
199003,-0.101
199004,0.198
199005,0.137
199006,-0.036
199007,0.012
199008,0.211
199009,0.163
199010,0.179
199011,-0.013
199012,0.273
199101,0.536
199102,0.186
199103,-0.043
199104,0.130
199105,0.386
199106,0.833
199107,0.373
199108,0.309
199109,0.368
199110,0.882
199111,1.132
199112,1.560
199201,1.752
199202,1.750
199203,1.298
199204,1.111
199205,0.853
199206,0.231
199207,0.176
199208,-0.152
199209,-0.144
199210,-0.379
199211,-0.145
199212,0.210
199301,0.322
199302,0.218
199303,0.431
199304,0.563
199305,0.830
199306,0.611
199307,0.315
199308,0.093
199309,0.368
199310,0.317
199311,0.284
199312,0.208
199401,-0.142
199402,0.006
199403,0.032
199404,-0.050
199405,0.077
199406,0.223
199407,-0.023
199408,0.470
199409,0.307
199410,0.871
199411,1.189
199412,1.183
199501,0.845
199502,0.819
199503,0.250
199504,0.141
199505,-0.311
199506,-0.269
199507,-0.268
199508,-0.589
199509,-0.981
199510,-1.158
199511,-1.191
199512,-1.085
199601,-0.802
199602,-0.921
199603,-0.748
199604,-0.565
199605,-0.731
199606,-0.567
199607,-0.243
199608,-0.376
199609,-0.443
199610,-0.409
199611,-0.547
199612,-0.716
199701,-0.681
199702,-0.423
199703,-0.273
199704,0.107
199705,0.555
199706,1.099
199707,1.654
199708,1.981
199709,2.214
199710,2.538
199711,2.674
199712,2.781
199801,2.609
199802,2.216
199803,1.513
199804,0.844
199805,0.492
199806,-0.980
199807,-1.529
199808,-1.518
199809,-1.098
199810,-1.363
199811,-1.579
199812,-1.959
199901,-1.763
199902,-1.357
199903,-0.997
199904,-0.963
199905,-0.855
199906,-1.067
199907,-0.877
199908,-1.173
199909,-1.020
199910,-1.104
199911,-1.632
199912,-1.852
200001,-1.859
200002,-1.534
200003,-1.037
200004,-0.708
200005,-0.690
200006,-0.677
200007,-0.619
200008,-0.424
200009,-0.369
200010,-0.644
200011,-0.859
